category_account,account, debit ,credit,indicator,,,,,,,,,,,,,,,,,,,,
COGS,Purchases of Items," 225,928.00 ",0,none_cash,,,,,,,,,,,,,,,,,,,,
COGS,Raw Materials COGS," 22,692.00 ",0,none_cash,,,,,,,,,,,,,,,,,,,,
Current Asset,cash," 369,951.84 ",,none_cash,account,category_account,total_debit,total_credit,,,,,,,Assets,Amount,Assets,Amount,,Ordinary Income/Expense,Amount,Ordinary Income/Expense,Amount,
Expense,Professional Fees," 465,667.35 ",0,cash,18,Other Revenue,Other Income,0,22000,0,22000,22000,0,,,,,,,Fuel Expenses,"282,605.09",Fuel Expenses,"282,655.77",-50.68
Expense,Rent Expense," 52,486.24 ",0,cash,19,Professional Fees,Expense,465667.35,0,465667.35,,465667.35,0,,Long-Term Liability,,Long-Term Liability,,,Insurance Expenses,"758,870.99",Insurance Expenses,"758,870.99",0.00
Expense,Security Service," 38,978.85 ",0,cash,20,Property Plant and Equipment,Fixed Asset,1050748.24,0,1052764.24,2016,1050748.24,0,,Notes Payable,"615,037.84",Notes Payable,"794,495.10",,Interest Expense,"72,494.64",Interest Expense,"74,994.64","-2,500.00"
Expense,Software," 5,281.37 ",0,cash,21,Purchases of Items,COGS,225928,0,225928,,225928,0,,Total Long-Term Liability,"615,037.84",Total Long-Term Liability,"794,495.10",,Janitorial Expense,"108,000.00",Janitorial Expense,"108,000.00",0.00
Expense,Subcontractor Expenses," 28,182,787.67 ",0,cash,22,Raw Materials COGS,COGS,22692,0,22692,,22692,0,,,,,,,Maintenance Expenses,"3,447,095.27",Maintenance Expenses,"3,447,095.27",0.00
Expense,Training and Development," 1,375,976.79 ",0,cash,23,Rent Expense,Expense,52486.24,0,52486.24,,52486.24,0,,Equity,,Equity,,,Material Expenses,"11,098,081.82",Material Expenses,"11,127,153.24","-29,071.42"
Expense,Travel and Entertainment," 297,574.19 ",0,cash,24,Sales Revenue,Revenue,0,34834647.97,0,34834647.97,34834647.97,0,,Common Stock,"300,000.00",Common Stock,"300,000.00",,Office Supplies,"94,546.41",Office Supplies,"94,546.41",0.00
Expense,Uniforms and Protective Gear," 135,579.19 ",0,cash,25,Security Service,Expense,38978.85,0,38978.85,,38978.85,0,,Dividends Paid,"-1,201,804.97",,,,Professional Fees,"465,667.35",Professional Fees,"465,667.35",0.00
Expense,Utilities Expense," 126,419.88 ",0,cash,26,Service Revenue,Revenue,0,36745393.46,0,36745393.46,36745393.46,0,,Retained Earnings,"9,888,395.75",Retained Earnings,"26,325.80",,Rent Expense,"52,486.24",Rent Expense,"52,486.24",0.00
Expense,Wages Expense," 10,476,583.02 ",0,cash,27,Software,Expense,5281.37,0,5281.37,0,5281.37,0,,Income Summary,0,Income Summary,"41,230.83",,Security Service,"38,978.85",Security Service,"38,978.85",0.00
Expense,Waste Removal," 15,257.20 ",0,cash,28,Subcontractor Expenses,Expense,28182787.67,0,28182787.67,0,28182787.67,0,,Equity,"8,986,590.78",Equity,"367,556.63",,Software,"5,281.37",Software,"5,281.37",0.00
Fixed Asset,Buildings," 5,112,662.39 ",0,cash,29,Training and Development,Expense,1375976.79,0,1375976.79,0,1375976.79,0,,,,,,,Subcontractor Expenses,"28,182,787.67",Subcontractor Expenses,"28,195,272.23","-12,484.56"
Fixed Asset,Property Plant and Equipment," 1,052,764.24 ",0,cash,30,Travel and Entertainment,Expense,297574.19,0,297574.19,0,297574.19,0,,Total Equity and Liabilities,"9,734,486.62",Total Equity and Liabilities,"1,163,779.73",,Training and Development,"1,375,976.79",Training and Development,"1,376,969.71",-992.92
Fixed Asset,Vehicles," 4,103,711.67 ",0,cash,31,Uniforms and Protective Gear,Expense,135579.19,0,135579.19,0,135579.19,0,,,,,,,Travel and Entertainment,"297,574.19",Travel and Entertainment,"297,574.19",0.00
Long-Term Liability,Notes Payable," 179,457.26 ",0,cash,32,Utilities Expense,Expense,126419.88,0,126419.88,0,126419.88,0,,"9,888,395.75",,,,,Uniforms and Protective Gear,"135,579.19",Uniforms and Protective Gear,"136,503.30",-924.11
Other Income,Other Revenue, -   ,22000,cash,33,Vehicles,Fixed Asset,4103711.67,0,4103711.67,0,4103711.67,0,,"9,862,069.95",,,,,Utilities Expense,"126,419.88",Utilities Expense,"127,043.21",-623.33
Revenue,Sales Revenue, -   ,34834647.97,cash,34,Wages Expense,Expense,10476583.02,0,10476583.02,0,10476583.02,0,,"26,325.80",,,,,Wages Expense,"10,476,583.02",Wages Expense,"10,488,719.95","-12,136.93"
Revenue,Service Revenue, -   ,36745393.46,cash,35,Waste Removal,Expense,15257.2,0,15257.2,0,15257.2,0,,,,,,,Waste Removal,"15,257.20",Waste Removal,"15,257.20",0.00
,," 73,877,813.85 "," 73,877,813.85 ",balance,36,cash,Current Asset,369951.84,0,369951.84,0,369951.84,0,,,,,,,Total Expense,"61,489,335.48",Total Expense,"61,562,054.95","-72,719.47"
,,,,balance,,,," 73,758,307.85 "," 73,758,307.85 "," 73,877,813.85 "," 73,877,813.85 ",,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,Total Operating Income,"9,842,085.95",Total Operating Income,"9,868,523.75","-26,437.80"
Cash Balance,Cash Start," 491,091.31 ",149395.32," 341,695.99 ",,,," (119,506.00)",,,,,,,,,,,,,,,,0.00
Cash Balance,Cash End," 72,004,236.70 ",71333819.7," 670,417.00 ",,,,,,,,,,,,,,,,Other Revenue,,Other Revenue,,0.00
,,,,,,,,,,Net Income,"9,862,069.95",,,,,,,,,Other Revenue,"22,000.00",Other Revenue,"22,000.00",0.00
,,,,,,,,,,,,,,,,,,,,Total Other Revenues,"22,000.00",Total Other Revenues,"22,000.00",0.00
,,,71580041.43,Revenue,,,,,,,,,,,,,,,,,,,,0.00
,,,248620,Cogs,,,,,,,,,,,,,,,,Other Expense,,Other Expense,,0.00
,incomes," 71,602,041.43 ",61489335.48,expense,,,,,,,,,,,,,,,,Accretion Expense,"2,016.00",Accretion Expense,"2,128.00",-112.00
,outcomes," 71,232,089.59 ",22000,Other income,,,,,,,,,,,,,,,,Total Other Expense,"2,016.00",Total Other Expense,"2,128.00",-112.00
,Increase," 369,951.84 ",2016,other expense,,,,,,,,,,,,,,,,,,,,0.00
,,,9862069.95,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,Net Profit,"9,862,069.95",Net Profit,"9,888,395.75","-26,325.80"
," 341,695.99 ",,,,,,,,,,,,,,,,,,,,,,,
," 670,417.00 ",,,,,,,,,,,,,,,,,,,,,,,
,," 328,721.01 ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,," 41,230.83 ",,,,,,,,,,,,,,,,,,,,,,
